Region Name,Region ID,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19
Alamo Square,417523,"$3,152 ","$3,167 ","$3,174 ","$3,184 ","$3,177 ","$3,138 ","$3,117 ","$3,110 ","$3,105 ","$3,097 ","$3,091 ","$3,185 ","$3,280 ","$3,378 ","$3,464 ","$3,508 ","$3,550 ","$3,571 ","$3,598 ","$3,609 ","$3,623 ","$3,606 ","$3,597 ","$3,558 ","$3,512 ","$3,490 ","$3,497 ","$3,509 ","$3,573 ","$3,628 ","$3,706 ","$3,773 ","$3,804 ","$3,823 ","$3,847 ","$3,873 ","$3,879 ","$3,911 ","$3,959 ","$4,023 ","$4,077 ","$4,105 ","$4,140 ","$4,188 ","$4,214 ","$4,228 ","$4,270 ","$4,310 ","$4,351 ","$4,413 ","$4,475 ","$4,513 ","$4,519 ","$4,526 ","$4,540 ","$4,593 ","$4,647 ","$4,706 ","$4,747 ","$4,788 ","$4,834 ","$4,891 ","$4,884 ","$4,861 ","$4,844 ","$4,828 ","$4,775 ","$4,725 ","$4,679 ","$4,655 ","$4,647 ","$4,661 ","$4,668 ","$4,638 ","$4,591 ","$4,541 ","$4,505 ","$4,475 ","$4,466 ","$4,476 ","$4,476 ","$4,478 ","$4,470 ","$4,467 ","$4,476 ","$4,481 ","$4,488 ","$4,506 ","$4,522 ","$4,495 ","$4,455 ","$4,409 ","$4,389 ","$4,352 ","$4,344 ","$4,354 ","$4,363 ","$4,392 ","$4,407 ","$4,403 ","$4,401 ","$4,380 ","$4,359 ","$4,344 ","$4,346 ","$4,350 ","$4,358 ","$4,367 ","$4,392 "
Anza Vista,417521,"$3,271 ","$3,240 ","$3,231 ","$3,237 ","$3,231 ","$3,194 ","$3,167 ","$3,153 ","$3,132 ","$3,141 ","$3,170 ","$3,263 ","$3,352 ","$3,431 ","$3,484 ","$3,505 ","$3,529 ","$3,559 ","$3,616 ","$3,653 ","$3,677 ","$3,713 ","$3,764 ","$3,801 ","$3,796 ","$3,757 ","$3,684 ","$3,661 ","$3,654 ","$3,681 ","$3,697 ","$3,718 ","$3,773 ","$3,829 ","$3,851 ","$3,874 ","$3,873 ","$3,917 ","$3,988 ","$4,071 ","$4,124 ","$4,152 ","$4,172 ","$4,193 ","$4,221 ","$4,237 ","$4,292 ","$4,376 ","$4,451 ","$4,489 ","$4,502 ","$4,500 ","$4,499 ","$4,501 ","$4,515 ","$4,570 ","$4,663 ","$4,739 ","$4,801 ","$4,847 ","$4,885 ","$4,931 ","$4,908 ","$4,862 ","$4,814 ","$4,794 ","$4,763 ","$4,748 ","$4,732 ","$4,715 ","$4,693 ","$4,684 ","$4,682 ","$4,653 ","$4,614 ","$4,567 ","$4,532 ","$4,504 ","$4,486 ","$4,486 ","$4,489 ","$4,502 ","$4,506 ","$4,505 ","$4,509 ","$4,504 ","$4,510 ","$4,493 ","$4,479 ","$4,476 ","$4,455 ","$4,451 ","$4,435 ","$4,522 ","$4,583 ","$4,635 ","$4,665 ","$4,701 ","$4,718 ","$4,722 ","$4,725 ","$4,711 ","$4,704 ","$4,702 ","$4,710 ","$4,708 ","$4,701 ","$4,685 ","$4,661 "
Balboa Terrace,417508,"$4,461 ","$4,732 ","$4,953 ","$5,093 ","$5,086 ","$4,979 ","$4,877 ","$4,717 ","$4,571 ","$4,467 ","$4,415 ","$4,383 ","$4,360 ","$4,403 ","$4,381 ","$4,341 ","$4,281 ","$4,215 ","$4,209 ","$4,250 ","$4,321 ","$4,425 ","$4,494 ","$4,555 ","$4,419 ","$4,244 ","$4,287 ","$4,344 ","$4,465 ","$4,477 ","$4,485 ","$4,489 ","$4,530 ","$4,567 ","$4,669 ","$4,697 ","$4,878 ","$4,917 ","$4,907 ","$4,953 ","$4,966 ","$4,972 ","$4,909 ","$4,858 ","$4,718 ","$4,631 ","$4,689 ","$4,910 ","$5,136 ","$5,341 ","$5,490 ","$5,622 ","$5,668 ","$5,684 ","$5,619 ","$5,592 ","$5,635 ","$5,685 ","$5,753 ","$5,826 ","$5,876 ","$5,947 ","$5,979 ","$6,002 ","$6,093 ","$6,111 ","$6,059 ","$5,969 ","$5,871 ","$5,817 ","$5,750 ","$5,748 ","$5,718 ","$5,702 ","$5,645 ","$5,568 ","$5,476 ","$5,418 ","$5,410 ","$5,392 ","$5,416 ","$5,338 ","$5,282 ","$5,278 ","$5,274 ","$5,273 ","$5,241 ","$5,195 ","$5,191 ","$5,215 ","$5,230 ","$5,289 ","$5,322 ","$5,394 ","$5,461 ","$5,480 ","$5,466 ","$5,432 ","$5,439 ","$5,436 ","$5,435 ","$5,412 ","$5,389 ","$5,372 ","$5,342 ","$5,316 ","$5,317 ","$5,309 ","$5,316 "
Bayview,272885,0,0,0,0,"$3,515 ","$3,304 ","$3,128 ","$2,986 ","$2,894 ","$2,878 ","$2,851 ","$2,859 ","$2,864 ","$2,843 ","$2,818 ","$2,817 ","$2,807 ","$2,804 ","$2,827 ","$2,848 ","$2,849 ","$2,837 ","$2,803 ","$2,770 ","$2,738 ","$2,733 ","$2,758 ","$2,797 ","$2,818 ","$2,850 ","$2,883 ","$2,889 ","$2,873 ","$2,868 ","$2,883 ","$2,917 ","$2,957 ","$3,006 ","$3,037 ","$3,058 ","$3,072 ","$3,079 ","$3,084 ","$3,128 ","$3,191 ","$3,247 ","$3,300 ","$3,341 ","$3,424 ","$3,483 ","$3,560 ","$3,640 ","$3,711 ","$3,752 ","$3,801 ","$3,825 ","$3,852 ","$3,906 ","$3,991 ","$4,071 ","$4,127 ","$4,177 ","$4,184 ","$4,122 ","$4,076 ","$4,034 ","$3,979 ","$3,963 ","$3,978 ","$4,012 ","$4,052 ","$4,051 ","$4,026 ","$4,005 ","$3,988 ","$3,957 ","$3,931 ","$3,916 ","$3,898 ","$3,898 ","$3,925 ","$3,931 ","$3,922 ","$3,888 ","$3,837 ","$3,811 ","$3,819 ","$3,804 ","$3,786 ","$3,758 ","$3,764 ","$3,763 ","$3,810 ","$3,842 ","$3,888 ","$3,920 ","$3,924 ","$3,920 ","$3,921 ","$3,934 ","$3,940 ","$3,955 ","$3,976 ","$3,983 ","$4,006 ","$4,020 ","$4,026 ","$4,006 ","$3,978 "
Bernal Heights,268020,"$3,486 ","$3,580 ","$3,640 ","$3,683 ","$3,581 ","$3,440 ","$3,321 ","$3,251 ","$3,219 ","$3,228 ","$3,239 ","$3,287 ","$3,322 ","$3,353 ","$3,355 ","$3,368 ","$3,372 ","$3,371 ","$3,395 ","$3,425 ","$3,483 ","$3,541 ","$3,569 ","$3,575 ","$3,501 ","$3,441 ","$3,361 ","$3,380 ","$3,413 ","$3,464 ","$3,548 ","$3,632 ","$3,683 ","$3,750 ","$3,818 ","$3,898 ","$3,977 ","$4,023 ","$4,047 ","$4,046 ","$4,032 ","$4,025 ","$3,956 ","$3,962 ","$3,976 ","$3,995 ","$4,029 ","$4,101 ","$4,227 ","$4,345 ","$4,442 ","$4,528 ","$4,586 ","$4,621 ","$4,693 ","$4,775 ","$4,866 ","$4,925 ","$4,960 ","$5,052 ","$5,121 ","$5,186 ","$5,176 ","$5,125 ","$5,090 ","$5,067 ","$4,985 ","$4,891 ","$4,838 ","$4,814 ","$4,814 ","$4,846 ","$4,876 ","$4,864 ","$4,816 ","$4,744 ","$4,677 ","$4,628 ","$4,596 ","$4,578 ","$4,556 ","$4,542 ","$4,532 ","$4,525 ","$4,523 ","$4,518 ","$4,510 ","$4,509 ","$4,496 ","$4,505 ","$4,487 ","$4,476 ","$4,489 ","$4,481 ","$4,471 ","$4,467 ","$4,466 ","$4,488 ","$4,507 ","$4,509 ","$4,510 ","$4,515 ","$4,531 ","$4,540 ","$4,550 ","$4,551 ","$4,543 ","$4,530 ","$4,501 "
Buena Vista,417524,"$3,813 ","$3,959 ","$4,074 ","$4,142 ","$4,136 ","$4,080 ","$3,975 ","$3,898 ","$3,855 ","$3,874 ","$3,924 ","$4,001 ","$4,074 ","$4,112 ","$4,148 ","$4,198 ","$4,230 ","$4,235 ","$4,248 ","$4,261 ","$4,288 ","$4,330 ","$4,367 ","$4,398 ","$4,404 ","$4,379 ","$4,371 ","$4,364 ","$4,410 ","$4,472 ","$4,550 ","$4,604 ","$4,634 ","$4,691 ","$4,752 ","$4,786 ","$4,811 ","$4,822 ","$4,878 ","$4,947 ","$4,979 ","$4,995 ","$4,968 ","$4,972 ","$4,990 ","$4,961 ","$4,996 ","$5,088 ","$5,208 ","$5,293 ","$5,357 ","$5,384 ","$5,369 ","$5,351 ","$5,353 ","$5,431 ","$5,506 ","$5,559 ","$5,605 ","$5,677 ","$5,767 ","$5,862 ","$5,898 ","$5,892 ","$5,883 ","$5,870 ","$5,805 ","$5,734 ","$5,684 ","$5,661 ","$5,627 ","$5,628 ","$5,639 ","$5,640 ","$5,608 ","$5,547 ","$5,473 ","$5,391 ","$5,342 ","$5,301 ","$5,268 ","$5,248 ","$5,252 ","$5,280 ","$5,327 ","$5,355 ","$5,365 ","$5,356 ","$5,340 ","$5,331 ","$5,298 ","$5,263 ","$5,209 ","$5,190 ","$5,186 ","$5,207 ","$5,208 ","$5,228 ","$5,229 ","$5,241 ","$5,247 ","$5,256 ","$5,270 ","$5,270 ","$5,276 ","$5,284 ","$5,305 ","$5,316 ","$5,302 "
Chinatown,114291,"$3,603 ","$3,602 ","$3,596 ","$3,617 ","$3,673 ","$3,704 ","$3,702 ","$3,669 ","$3,632 ","$3,638 ","$3,627 ","$3,702 ","$3,791 ","$3,845 ","$3,808 ","$3,663 ","$3,661 ","$3,735 ","$3,837 ","$3,931 ","$4,036 ","$4,127 ","$4,162 ","$4,120 ","$4,044 ","$3,925 ","$3,837 ","$3,830 ","$3,810 ","$3,850 ","$3,842 ","$3,858 ","$3,919 ","$3,964 ","$4,060 ","$4,132 ","$4,242 ","$4,274 ","$4,287 ","$4,219 ","$4,141 ","$4,103 ","$4,081 ","$4,023 ","$3,996 ","$3,973 ","$4,022 ","$4,119 ","$4,186 ","$4,285 ","$4,368 ","$4,493 ","$4,644 ","$4,765 ","$4,888 ","$4,970 ","$5,007 ","$5,085 ","$5,134 ","$5,244 ","$5,338 ","$5,434 ","$5,453 ","$5,477 ","$5,408 ","$5,310 ","$5,188 ","$5,077 ","$5,027 ","$4,990 ","$4,980 ","$4,979 ","$4,981 ","$4,952 ","$4,921 ","$4,850 ","$4,811 ","$4,785 ","$4,750 ","$4,753 ","$4,746 ","$4,713 ","$4,712 ","$4,735 ","$4,751 ","$4,751 ","$4,738 ","$4,754 ","$4,757 ","$4,787 ","$4,838 ","$4,839 ","$4,822 ","$4,786 ","$4,737 ","$4,754 ","$4,740 ","$4,724 ","$4,764 ","$4,768 ","$4,770 ","$4,776 ","$4,801 ","$4,835 ","$4,884 ","$4,924 ","$4,964 ","$5,007 ","$5,027 "
Clarendon Heights,417525,"$3,981 ","$4,081 ","$4,180 ","$4,259 ","$4,224 ","$4,118 ","$3,974 ","$3,859 ","$3,781 ","$3,762 ","$3,790 ","$3,844 ","$3,902 ","$3,940 ","$3,969 ","$3,983 ","$3,998 ","$3,994 ","$3,992 ","$3,988 ","$4,031 ","$4,108 ","$4,177 ","$4,208 ","$4,175 ","$4,127 ","$4,094 ","$4,073 ","$4,120 ","$4,186 ","$4,251 ","$4,302 ","$4,346 ","$4,398 ","$4,484 ","$4,557 ","$4,622 ","$4,650 ","$4,713 ","$4,754 ","$4,789 ","$4,806 ","$4,736 ","$4,715 ","$4,704 ","$4,673 ","$4,732 ","$4,846 ","$5,009 ","$5,135 ","$5,250 ","$5,326 ","$5,345 ","$5,369 ","$5,360 ","$5,402 ","$5,460 ","$5,512 ","$5,549 ","$5,613 ","$5,700 ","$5,787 ","$5,817 ","$5,796 ","$5,791 ","$5,771 ","$5,714 ","$5,656 ","$5,612 ","$5,590 ","$5,560 ","$5,548 ","$5,531 ","$5,516 ","$5,474 ","$5,421 ","$5,349 ","$5,282 ","$5,204 ","$5,134 ","$5,073 ","$5,030 ","$5,024 ","$5,069 ","$5,143 ","$5,186 ","$5,175 ","$5,176 ","$5,164 ","$5,156 ","$5,124 ","$5,106 ","$5,069 ","$5,070 ","$5,108 ","$5,173 ","$5,209 ","$5,241 ","$5,258 ","$5,225 ","$5,209 ","$5,210 ","$5,213 ","$5,210 ","$5,214 ","$5,230 ","$5,263 ","$5,287 ","$5,282 "
Corona Heights,417519,"$3,608 ","$3,692 ","$3,770 ","$3,811 ","$3,790 ","$3,737 ","$3,650 ","$3,583 ","$3,542 ","$3,534 ","$3,551 ","$3,617 ","$3,690 ","$3,738 ","$3,783 ","$3,828 ","$3,847 ","$3,855 ","$3,887 ","$3,923 ","$3,946 ","$3,982 ","$4,012 ","$4,044 ","$4,040 ","$4,025 ","$4,000 ","$3,988 ","$4,039 ","$4,117 ","$4,201 ","$4,264 ","$4,296 ","$4,335 ","$4,364 ","$4,400 ","$4,429 ","$4,451 ","$4,480 ","$4,532 ","$4,541 ","$4,545 ","$4,537 ","$4,566 ","$4,607 ","$4,603 ","$4,688 ","$4,795 ","$4,910 ","$5,003 ","$5,101 ","$5,152 ","$5,155 ","$5,154 ","$5,173 ","$5,242 ","$5,309 ","$5,345 ","$5,349 ","$5,406 ","$5,495 ","$5,598 ","$5,638 ","$5,628 ","$5,626 ","$5,609 ","$5,540 ","$5,464 ","$5,418 ","$5,401 ","$5,386 ","$5,401 ","$5,416 ","$5,420 ","$5,382 ","$5,300 ","$5,242 ","$5,188 ","$5,138 ","$5,094 ","$5,039 ","$4,986 ","$4,948 ","$4,965 ","$5,020 ","$5,078 ","$5,103 ","$5,114 ","$5,123 ","$5,136 ","$5,128 ","$5,078 ","$5,005 ","$4,970 ","$4,946 ","$4,938 ","$4,938 ","$4,946 ","$4,939 ","$4,959 ","$4,969 ","$4,973 ","$4,984 ","$4,999 ","$5,015 ","$5,019 ","$5,028 ","$5,027 ","$5,006 "
Cow Hollow,268096,"$6,544 ","$6,949 ","$6,898 ","$6,758 ","$6,527 ","$6,248 ","$6,004 ","$5,822 ","$5,715 ","$5,682 ","$5,673 ","$5,645 ","$5,649 ","$5,658 ","$5,678 ","$5,686 ","$5,664 ","$5,615 ","$5,617 ","$5,619 ","$5,658 ","$5,719 ","$5,744 ","$5,751 ","$5,768 ","$5,712 ","$5,726 ","$5,751 ","$5,809 ","$5,828 ","$5,849 ","$5,834 ","$5,860 ","$5,994 ","$6,196 ","$6,400 ","$6,633 ","$6,754 ","$6,777 ","$6,802 ","$6,794 ","$6,791 ","$6,841 ","$6,805 ","$6,670 ","$6,489 ","$6,513 ","$6,540 ","$6,654 ","$6,852 ","$7,063 ","$7,263 ","$7,448 ","$7,601 ","$7,744 ","$7,811 ","$7,835 ","$7,894 ","$7,972 ","$8,111 ","$8,257 ","$8,395 ","$8,456 ","$8,465 ","$8,348 ","$8,130 ","$7,952 ","$7,784 ","$7,735 ","$7,701 ","$7,667 ","$7,782 ","$7,883 ","$7,955 ","$7,965 ","$7,907 ","$7,765 ","$7,579 ","$7,411 ","$7,275 ","$7,224 ","$7,247 ","$7,266 ","$7,300 ","$7,418 ","$7,502 ","$7,497 ","$7,519 ","$7,525 ","$7,554 ","$7,569 ","$7,424 ","$7,300 ","$7,376 ","$7,460 ","$7,516 ","$7,535 ","$7,539 ","$7,552 ","$7,628 ","$7,666 ","$7,698 ","$7,696 ","$7,656 ","$7,587 ","$7,468 ","$7,398 ","$7,398 ","$7,426 "
