Region Name,Region ID,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19
Alamo Square,417523,"$2,707","$2,701","$2,714","$2,761","$2,716","$2,643","$2,597","$2,573","$2,580","$2,586","$2,601","$2,611","$2,645","$2,677","$2,696","$2,725","$2,747","$2,764","$2,799","$2,793","$2,831","$2,844","$2,841","$2,854","$2,859","$2,871","$2,885","$2,898","$2,909","$2,930","$2,914","$2,909","$2,918","$2,969","$3,027","$3,080","$3,120","$3,145","$3,164","$3,168","$3,186","$3,195","$3,217","$3,266","$3,318","$3,361","$3,417","$3,479","$3,515","$3,530","$3,571","$3,576","$3,583","$3,576","$3,582","$3,602","$3,635","$3,669","$3,680","$3,703","$3,717","$3,736","$3,754","$3,765","$3,771","$3,781","$3,802","$3,794","$3,795","$3,786","$3,776","$3,776","$3,771","$3,741","$3,722","$3,691","$3,649","$3,595","$3,572","$3,558","$3,546","$3,537","$3,533","$3,537","$3,533","$3,523","$3,509","$3,494","$3,512","$3,537","$3,573","$3,598","$3,600","$3,591","$3,571","$3,566","$3,554","$3,565","$3,577","$3,596","$3,605","$3,620","$3,633","$3,647","$3,663","$3,677","$3,705","$3,716","$3,717"
Anza Vista,417521,"$2,872","$2,887","$2,877","$2,881","$2,707","$2,597","$2,483","$2,372","$2,378","$2,360","$2,372","$2,409","$2,500","$2,558","$2,642","$2,684","$2,663","$2,648","$2,646","$2,644","$2,667","$2,698","$2,756","$2,784","$2,770","$2,740","$2,731","$2,717","$2,769","$2,809","$2,784","$2,756","$2,759","$2,804","$2,870","$2,907","$2,928","$2,943","$2,951","$2,945","$2,906","$2,886","$2,884","$2,934","$3,000","$3,043","$3,138","$3,226","$3,269","$3,272","$3,292","$3,304","$3,311","$3,289","$3,298","$3,320","$3,364","$3,406","$3,429","$3,459","$3,462","$3,483","$3,492","$3,474","$3,465","$3,460","$3,453","$3,466","$3,508","$3,516","$3,515","$3,499","$3,519","$3,489","$3,436","$3,393","$3,397","$3,401","$3,398","$3,393","$3,380","$3,359","$3,378","$3,384","$3,393","$3,398","$3,379","$3,367","$3,372","$3,383","$3,386","$3,386","$3,382","$3,365","$3,347","$3,308","$3,296","$3,298","$3,289","$3,340","$3,366","$3,333","$3,312","$3,304","$3,294","$3,281","$3,262","$3,247","$3,230"
Balboa Terrace,417508,0,"$3,844","$3,939","$3,966","$3,853","$3,695","$3,541","$3,428","$3,322","$3,251","$3,217","$3,187","$3,218","$3,208","$3,200","$3,145","$3,109","$3,023","$2,995","$3,030","$3,074","$3,169","$3,260","$3,385","$3,404","$3,361","$3,398","$3,436","$3,553","$3,537","$3,421","$3,347","$3,263","$3,265","$3,362","$3,413","$3,439","$3,453","$3,429","$3,459","$3,495",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayview,272885,"$3,028","$3,069","$3,109","$3,137","$2,959","$2,782","$2,621","$2,492","$2,391","$2,362","$2,348","$2,381","$2,392","$2,354","$2,277","$2,271","$2,255","$2,254","$2,227","$2,250","$2,261","$2,253","$2,211","$2,186","$2,147","$2,168","$2,228","$2,279","$2,311","$2,353","$2,396","$2,404","$2,430","$2,427","$2,412","$2,406","$2,435","$2,514","$2,570","$2,607","$2,645","$2,665","$2,653","$2,642","$2,655","$2,706","$2,810","$2,922","$3,025","$3,121","$3,202","$3,269","$3,325","$3,362","$3,361","$3,384","$3,393","$3,434","$3,492","$3,590","$3,663","$3,689","$3,638","$3,570","$3,506","$3,475","$3,480","$3,492","$3,510","$3,539","$3,558","$3,555","$3,534","$3,474","$3,430","$3,403","$3,376","$3,358","$3,350","$3,378","$3,415","$3,449","$3,441","$3,398","$3,353","$3,327","$3,312","$3,304","$3,314","$3,345","$3,389","$3,416","$3,445","$3,415","$3,406","$3,400","$3,384","$3,401","$3,429","$3,446","$3,454","$3,441","$3,408","$3,368","$3,340","$3,337","$3,353","$3,397","$3,436"
Bernal Heights,268020,"$3,004","$2,985","$3,004","$3,021","$2,945","$2,854","$2,783","$2,723","$2,682","$2,680","$2,688","$2,709","$2,715","$2,711","$2,695","$2,686","$2,697","$2,717","$2,764","$2,817","$2,861","$2,881","$2,885","$2,871","$2,842","$2,803","$2,770","$2,760","$2,784","$2,817","$2,876","$2,916","$2,950","$2,986","$3,009","$3,039","$3,083","$3,144","$3,190","$3,220","$3,188","$3,172","$3,156","$3,197","$3,280","$3,353","$3,397","$3,437","$3,481","$3,544","$3,612","$3,665","$3,717","$3,739","$3,750","$3,765","$3,799","$3,847","$3,874","$3,951","$3,997","$4,038","$4,083","$4,089","$4,070","$4,057","$4,009","$3,989","$3,991","$3,989","$3,977","$3,944","$3,906","$3,871","$3,842","$3,796","$3,736","$3,702","$3,675","$3,655","$3,670","$3,670","$3,648","$3,622","$3,601","$3,600","$3,579","$3,558","$3,602","$3,643","$3,700","$3,741","$3,762","$3,762","$3,733","$3,702","$3,692","$3,696","$3,692","$3,714","$3,725","$3,712","$3,693","$3,690","$3,702","$3,708","$3,727","$3,757","$3,781"
Buena Vista,417524,"$2,943","$2,984","$3,011","$3,036","$2,985","$2,917","$2,876","$2,861","$2,849","$2,849","$2,845","$2,913","$2,977","$3,023","$3,086","$3,130","$3,162","$3,174","$3,191","$3,178","$3,180","$3,180","$3,200","$3,210","$3,211","$3,212","$3,190","$3,231","$3,306","$3,359","$3,399","$3,411","$3,431","$3,468","$3,527","$3,578","$3,610","$3,636","$3,640","$3,631","$3,631","$3,631","$3,666","$3,732","$3,804","$3,875","$3,963","$4,045","$4,087","$4,110","$4,133","$4,149","$4,149","$4,156","$4,186","$4,211","$4,261","$4,315","$4,347","$4,387","$4,398","$4,405","$4,413","$4,409","$4,420","$4,433","$4,412","$4,398","$4,389","$4,382","$4,373","$4,365","$4,365","$4,341","$4,305","$4,252","$4,200","$4,169","$4,139","$4,113","$4,097","$4,087","$4,085","$4,086","$4,102","$4,104","$4,075","$4,060","$4,059","$4,057","$4,054","$4,040","$4,004","$3,976","$3,942","$3,933","$3,930","$3,946","$3,961","$4,010","$4,035","$4,027","$4,001","$3,968","$3,948","$3,939","$3,934","$3,932","$3,937"
Chinatown,114291,"$2,965","$2,962","$2,950","$2,945","$2,794","$2,618","$2,475","$2,365","$2,275","$2,212","$2,196","$2,221","$2,266","$2,265","$2,272","$2,208","$2,213","$2,202","$2,254","$2,324","$2,390","$2,439","$2,420","$2,392","$2,392","$2,394","$2,417","$2,497","$2,586","$2,663","$2,716","$2,738","$2,799","$2,873","$2,987","$3,042","$3,047","$3,056","$3,064","$3,056","$3,039","$3,030","$3,021","$2,990","$2,975","$2,974","$3,011","$3,058","$3,135","$3,204","$3,277","$3,358","$3,445","$3,485","$3,548","$3,610","$3,649","$3,682","$3,668","$3,664","$3,643","$3,633","$3,649","$3,650","$3,652","$3,654","$3,644","$3,644","$3,663","$3,668","$3,655","$3,635","$3,621","$3,545","$3,510","$3,449","$3,444","$3,444","$3,430","$3,399","$3,350","$3,318","$3,284","$3,256","$3,238","$3,243","$3,246","$3,242","$3,258","$3,266","$3,256","$3,236","$3,208","$3,221","$3,242","$3,270","$3,305","$3,351","$3,361","$3,370","$3,374","$3,327","$3,269","$3,236","$3,236","$3,238","$3,258","$3,276","$3,290"
Clarendon Heights,417525,"$2,921","$2,933","$2,944","$2,939","$2,882","$2,856","$2,842","$2,852","$2,837","$2,815","$2,778","$2,814","$2,871","$2,933","$3,001","$3,049","$3,098","$3,131","$3,148","$3,114","$3,128","$3,150","$3,194","$3,199","$3,161","$3,147","$3,084","$3,086","$3,111","$3,159","$3,235","$3,315","$3,402","$3,462","$3,525","$3,560","$3,574","$3,584","$3,603","$3,598","$3,580","$3,572","$3,573","$3,625","$3,692","$3,759","$3,856","$3,943","$4,014","$4,047","$4,084","$4,093","$4,109","$4,113","$4,111","$4,131","$4,190","$4,261","$4,317","$4,339","$4,356","$4,374","$4,346","$4,342","$4,335","$4,321","$4,306","$4,299","$4,304","$4,298","$4,295","$4,321","$4,344","$4,323","$4,294","$4,247","$4,183","$4,160","$4,144","$4,142","$4,140","$4,120","$4,110","$4,096","$4,106","$4,106","$4,099","$4,088","$4,105","$4,096","$4,055","$3,997","$3,961","$3,881","$3,843","$3,807","$3,803","$3,808","$3,849","$3,939","$3,985","$3,991","$3,974","$3,960","$3,947","$3,898","$3,885","$3,909","$3,915"
Corona Heights,417519,"$2,925","$2,926","$2,948","$2,959","$2,920","$2,877","$2,848","$2,827","$2,795","$2,791","$2,788","$2,844","$2,897","$2,935","$2,966","$2,993","$3,002","$3,023","$3,076","$3,096","$3,097","$3,085","$3,081","$3,079","$3,084","$3,064","$3,031","$3,049","$3,113","$3,168","$3,222","$3,251","$3,256","$3,299","$3,326","$3,377","$3,417","$3,443","$3,465","$3,451","$3,449","$3,448","$3,471","$3,514","$3,573","$3,631","$3,690","$3,768","$3,823","$3,873","$3,918","$3,956","$3,983","$4,005","$4,028","$4,039","$4,067","$4,110","$4,131","$4,176","$4,197","$4,223","$4,240","$4,256","$4,289","$4,316","$4,310","$4,298","$4,280","$4,262","$4,241","$4,210","$4,192","$4,163","$4,121","$4,070","$4,000","$3,965","$3,936","$3,924","$3,912","$3,918","$3,912","$3,912","$3,916","$3,916","$3,906","$3,905","$3,923","$3,941","$3,964","$3,971","$3,958","$3,954","$3,936","$3,928","$3,925","$3,947","$3,956","$3,969","$3,976","$3,955","$3,928","$3,913","$3,912","$3,917","$3,927","$3,934","$3,943"
Cow Hollow,268096,"$3,069","$3,120","$3,185","$3,211","$3,249","$3,247","$3,200","$3,145","$3,149","$3,179","$3,217","$3,257","$3,268","$3,253","$3,243","$3,297","$3,311","$3,305","$3,356","$3,358","$3,376","$3,362","$3,371","$3,340","$3,336","$3,279","$3,234","$3,243","$3,295","$3,383","$3,365","$3,339","$3,376","$3,427","$3,471","$3,551","$3,600","$3,561","$3,584","$3,636","$3,673","$3,691","$3,702","$3,748","$3,808","$3,860","$3,919","$3,975","$4,026","$4,063","$4,110","$4,142","$4,163","$4,181","$4,185","$4,203","$4,225","$4,266","$4,316","$4,383","$4,440","$4,473","$4,502","$4,495","$4,494","$4,491","$4,478","$4,477","$4,484","$4,478","$4,473","$4,475","$4,467","$4,436","$4,388","$4,325","$4,247","$4,204","$4,151","$4,117","$4,105","$4,102","$4,099","$4,102","$4,114","$4,108","$4,098","$4,076","$4,078","$4,078","$4,093","$4,100","$4,083","$4,107","$4,101","$4,100","$4,080","$4,100","$4,105","$4,146","$4,167","$4,171","$4,166","$4,166","$4,169","$4,158","$4,148","$4,155","$4,165"
