Region Name,Region ID,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,0
Alamo Square,417523,"$3,339","$3,317","$3,294","$3,296","$3,257","$3,198","$3,145","$3,112","$3,098","$3,086","$3,084","$3,179","$3,261","$3,333","$3,406","$3,444","$3,482","$3,510","$3,531","$3,546","$3,546","$3,530","$3,535","$3,525","$3,499","$3,505","$3,523","$3,556","$3,618","$3,664","$3,721","$3,770","$3,811","$3,857","$3,891","$3,916","$3,920","$3,940","$3,963","$3,992","$4,007","$4,015","$4,050","$4,104","$4,151","$4,165","$4,230","$4,289","$4,333","$4,392","$4,456","$4,497","$4,514","$4,530","$4,545","$4,592","$4,643","$4,664","$4,730","$4,766","$4,805","$4,823","$4,790","$4,748","$4,746","$4,735","$4,702","$4,682","$4,648","$4,635","$4,611","$4,633","$4,623","$4,612","$4,575","$4,528","$4,494","$4,462","$4,452","$4,449","$4,450","$4,450","$4,447","$4,432","$4,448","$4,462","$4,464","$4,471","$4,478","$4,454","$4,409","$4,385","$4,365","$4,334","$4,291","$4,286","$4,289","$4,310","$4,318","$4,333","$4,340","$4,305","$4,290","$4,274","$4,286","$4,301","$4,280","$4,312","$4,341",0
Anza Vista,417521,"$3,231","$3,211","$3,201","$3,200","$3,175","$3,113","$3,042","$3,008","$2,992","$3,012","$3,037","$3,112","$3,169","$3,237","$3,306","$3,335","$3,290","$3,275","$3,332","$3,368","$3,400","$3,406","$3,397","$3,398","$3,362","$3,355","$3,355","$3,377","$3,420","$3,420","$3,414","$3,391","$3,421","$3,476","$3,523","$3,574","$3,592","$3,634","$3,660","$3,660","$3,706","$3,730","$3,736","$3,785","$3,842","$3,924","$4,014","$4,094","$4,106","$4,133","$4,162","$4,177","$4,180","$4,197","$4,223","$4,259","$4,273","$4,303","$4,329","$4,383","$4,458","$4,521","$4,557","$4,558","$4,537","$4,515","$4,491","$4,474","$4,486","$4,473","$4,459","$4,460","$4,570","$4,602","$4,592","$4,551","$4,510","$4,468","$4,428","$4,413","$4,405","$4,408","$4,403","$4,396","$4,386","$4,375","$4,364","$4,348","$4,337","$4,318","$4,317","$4,305","$4,300","$4,242","$4,173","$4,162","$4,162","$4,189","$4,219","$4,231","$4,237","$4,209","$4,173","$4,137","$4,134","$4,139","$4,120","$4,147","$4,165",0
Balboa Terrace,417508,0,"$3,995","$4,175","$4,258","$4,145","$3,966","$3,804","$3,663","$3,584","$3,502","$3,469","$3,469","$3,486","$3,492","$3,434","$3,318","$3,281","$3,280","$3,276","$3,273","$3,329","$3,473","$3,564","$3,659","$3,630","$3,539","$3,552","$3,570","$3,672","$3,704","$3,727","$3,768","$3,809","$3,795","$3,842","$3,830","$3,821","$3,754","$3,759","$3,827","$3,881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayview,272885,"$3,552","$3,505","$3,488","$3,499","$3,326","$3,166","$3,011","$2,868","$2,788","$2,759","$2,751","$2,794","$2,806","$2,761","$2,692","$2,665","$2,639","$2,648","$2,676","$2,690","$2,688","$2,674","$2,642","$2,630","$2,611","$2,583","$2,604","$2,671","$2,706","$2,757","$2,771","$2,763","$2,756","$2,747","$2,753","$2,795","$2,831","$2,891","$2,930","$2,952","$2,977","$2,989","$2,949","$2,925","$2,942","$3,008","$3,129","$3,224","$3,333","$3,428","$3,504","$3,581","$3,696","$3,748","$3,763","$3,767","$3,793","$3,833","$3,915","$3,996","$4,059","$4,128","$4,151","$4,134","$4,097","$4,052","$3,982","$3,972","$3,978","$4,000","$4,026","$4,038","$4,028","$4,008","$3,981","$3,924","$3,852","$3,811","$3,770","$3,769","$3,791","$3,814","$3,824","$3,797","$3,748","$3,732","$3,728","$3,714","$3,738","$3,754","$3,797","$3,804","$3,823","$3,822","$3,806","$3,791","$3,790","$3,795","$3,811","$3,846","$3,864","$3,852","$3,821","$3,796","$3,778","$3,775","$3,785","$3,807","$3,814",0
Bernal Heights,268020,"$3,298","$3,304","$3,321","$3,346","$3,264","$3,151","$3,050","$2,976","$2,943","$2,949","$2,955","$2,996","$3,018","$3,042","$3,054","$3,076","$3,090","$3,108","$3,124","$3,166","$3,229","$3,280","$3,311","$3,305","$3,257","$3,201","$3,160","$3,185","$3,247","$3,316","$3,392","$3,439","$3,470","$3,528","$3,554","$3,625","$3,667","$3,698","$3,719","$3,703","$3,679","$3,667","$3,650","$3,668","$3,709","$3,740","$3,798","$3,860","$3,916","$3,999","$4,051","$4,092","$4,122","$4,144","$4,188","$4,242","$4,312","$4,371","$4,423","$4,488","$4,515","$4,539","$4,547","$4,539","$4,514","$4,498","$4,445","$4,417","$4,410","$4,407","$4,408","$4,400","$4,388","$4,359","$4,343","$4,333","$4,315","$4,298","$4,259","$4,235","$4,214","$4,203","$4,193","$4,172","$4,163","$4,154","$4,144","$4,123","$4,098","$4,093","$4,099","$4,127","$4,162","$4,183","$4,195","$4,200","$4,215","$4,243","$4,252","$4,242","$4,237","$4,223","$4,208","$4,207","$4,220","$4,231","$4,250","$4,273","$4,283",0
Buena Vista,417524,"$3,571","$3,615","$3,729","$3,771","$3,722","$3,640","$3,562","$3,507","$3,473","$3,474","$3,500","$3,559","$3,677","$3,767","$3,842","$3,912","$3,942","$3,938","$3,953","$3,979","$4,006","$4,035","$4,052","$4,070","$4,072","$4,069","$4,050","$4,061","$4,095","$4,139","$4,197","$4,224","$4,243","$4,288","$4,346","$4,367","$4,399","$4,435","$4,495","$4,559","$4,576","$4,585","$4,594","$4,617","$4,633","$4,608","$4,660","$4,757","$4,883","$4,985","$5,063","$5,102","$5,091","$5,073","$5,050","$5,086","$5,147","$5,192","$5,249","$5,316","$5,382","$5,452","$5,473","$5,472","$5,478","$5,479","$5,448","$5,397","$5,351","$5,326","$5,307","$5,317","$5,336","$5,328","$5,271","$5,178","$5,084","$5,009","$4,996","$4,987","$4,977","$4,956","$4,942","$4,950","$4,965","$4,969","$4,983","$4,986","$4,990","$4,992","$4,973","$4,916","$4,835","$4,799","$4,783","$4,781","$4,781","$4,803","$4,804","$4,798","$4,795","$4,780","$4,770","$4,779","$4,789","$4,798","$4,793","$4,798","$4,798",0
Chinatown,114291,"$3,344","$3,324","$3,310","$3,320","$3,305","$3,305","$3,270","$3,211","$3,155","$3,136","$3,102","$3,130","$3,174","$3,220","$3,211","$3,146","$3,141","$3,168","$3,184","$3,247","$3,350","$3,414","$3,395","$3,251","$3,168","$3,094","$3,036","$3,122","$3,235","$3,346","$3,395","$3,420","$3,480","$3,560","$3,661","$3,729","$3,750","$3,740","$3,718","$3,683","$3,647","$3,630","$3,614","$3,642","$3,658","$3,670","$3,751","$3,807","$3,893","$3,970","$4,044","$4,089","$4,187","$4,270","$4,316","$4,382","$4,402","$4,451","$4,515","$4,604","$4,667","$4,725","$4,704","$4,701","$4,679","$4,651","$4,614","$4,558","$4,490","$4,443","$4,429","$4,404","$4,395","$4,378","$4,355","$4,288","$4,193","$4,134","$4,126","$4,126","$4,127","$4,139","$4,137","$4,142","$4,126","$4,136","$4,149","$4,161","$4,206","$4,197","$4,235","$4,273","$4,297","$4,309","$4,273","$4,306","$4,284","$4,273","$4,241","$4,221","$4,211","$4,224","$4,258","$4,312","$4,378","$4,427","$4,497","$4,577","$4,605",0
Clarendon Heights,417525,"$3,311","$3,302","$3,305","$3,360","$3,338","$3,274","$3,231","$3,225","$3,227","$3,223","$3,245","$3,293","$3,426","$3,559","$3,638","$3,719","$3,730","$3,740","$3,762","$3,778","$3,811","$3,842","$3,846","$3,836","$3,776","$3,750","$3,705","$3,754","$3,786","$3,842","$3,944","$3,996","$4,030","$4,103","$4,138","$4,162","$4,171","$4,194","$4,241","$4,293","$4,306","$4,312","$4,312","$4,314","$4,313","$4,299","$4,376","$4,511","$4,648","$4,734","$4,805","$4,834","$4,845","$4,854","$4,842","$4,906","$5,019","$5,114","$5,181","$5,245","$5,291","$5,325","$5,346","$5,334","$5,309","$5,300","$5,268","$5,231","$5,198","$5,169","$5,175","$5,187","$5,196","$5,196","$5,113","$4,936","$4,831","$4,824","$4,833","$4,827","$4,810","$4,802","$4,813","$4,818","$4,799","$4,788","$4,775","$4,771","$4,778","$4,761","$4,725","$4,669","$4,650","$4,644","$4,667","$4,708","$4,748","$4,806","$4,835","$4,840","$4,843","$4,860","$4,876","$4,873","$4,888","$4,875","$4,825","$4,874","$4,873",0
Corona Heights,417519,"$3,236","$3,299","$3,414","$3,476","$3,429","$3,347","$3,253","$3,192","$3,149","$3,138","$3,154","$3,208","$3,265","$3,309","$3,352","$3,395","$3,427","$3,438","$3,452","$3,465","$3,449","$3,470","$3,501","$3,539","$3,555","$3,541","$3,524","$3,529","$3,601","$3,677","$3,764","$3,804","$3,800","$3,825","$3,863","$3,907","$3,942","$3,979","$4,013","$4,055","$4,067","$4,072","$4,089","$4,137","$4,192","$4,219","$4,298","$4,385","$4,464","$4,549","$4,627","$4,687","$4,693","$4,690","$4,694","$4,732","$4,784","$4,842","$4,875","$4,921","$4,975","$5,028","$5,053","$5,062","$5,078","$5,095","$5,060","$5,028","$4,994","$4,975","$4,951","$4,960","$4,970","$4,950","$4,891","$4,819","$4,777","$4,735","$4,706","$4,676","$4,657","$4,642","$4,623","$4,616","$4,638","$4,652","$4,652","$4,661","$4,659","$4,663","$4,655","$4,619","$4,576","$4,581","$4,588","$4,585","$4,595","$4,623","$4,635","$4,645","$4,650","$4,646","$4,641","$4,658","$4,675","$4,687","$4,693","$4,686","$4,683",0
Cow Hollow,268096,"$3,739","$3,778","$3,875","$3,939","$3,976","$3,957","$3,934","$3,921","$3,930","$3,994","$4,063","$4,104","$4,158","$4,171","$4,200","$4,234","$4,243","$4,258","$4,251","$4,185","$4,147","$4,190","$4,242","$4,313","$4,332","$4,299","$4,329","$4,356","$4,411","$4,416","$4,450","$4,452","$4,463","$4,512","$4,615","$4,699","$4,757","$4,818","$4,895","$4,962","$4,983","$4,994","$4,950","$4,906","$4,883","$4,867","$4,901","$4,976","$5,042","$5,128","$5,227","$5,317","$5,382","$5,410","$5,429","$5,473","$5,524","$5,608","$5,728","$5,872","$5,948","$6,037","$6,063","$6,054","$6,035","$6,002","$5,923","$5,835","$5,757","$5,698","$5,650","$5,677","$5,740","$5,747","$5,711","$5,655","$5,579","$5,499","$5,439","$5,398","$5,347","$5,274","$5,247","$5,257","$5,303","$5,337","$5,333","$5,348","$5,343","$5,352","$5,338","$5,274","$5,206","$5,213","$5,262","$5,325","$5,398","$5,483","$5,534","$5,541","$5,545","$5,539","$5,524","$5,514","$5,504","$5,485","$5,492","$5,518","$5,563",0
