Region Name,Region ID,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19
Alamo Square,417523,"$4,038 ","$4,183 ","$4,356 ","$4,505 ","$4,420 ","$4,251 ","$4,073 ","$3,948 ","$3,902 ","$3,952 ","$4,031 ","$4,082 ","$4,168 ","$4,204 ","$4,196 ","$4,247 ","$4,166 ","$4,166 ","$4,170 ","$4,141 ","$4,101 ","$4,136 ","$4,233 ","$4,278 ","$4,243 ","$4,120 ","$4,046 ","$3,959 ","$3,967 ","$3,964 ","$4,013 ","$4,116 ","$4,271 ","$4,423 ","$4,593 ","$4,710 ","$4,876 ","$4,984 ","$5,151 ","$5,275 ","$5,313 ","$5,332 ","$5,288 ","$5,317 ","$5,254 ","$5,189 ","$5,319 ","$5,467 ","$5,650 ","$5,845 ","$6,036 ","$6,314 ","$6,622 ","$6,899 ","$7,009 ","$7,100 ","$7,120 ","$7,192 ","$7,266 ","$7,513 ","$7,709 ","$7,956 ","$8,133 ","$8,258 ","$8,078 ","$7,695 ","$7,366 ","$7,087 ","$6,956 ","$6,869 ","$6,852 ","$6,905 ","$6,908 ","$6,795 ","$6,703 ","$6,634 ","$6,480 ","$6,335 ","$6,204 ","$6,334 ","$6,445 ","$6,522 ","$6,568 ","$6,633 ","$6,722 ","$6,970 ","$7,101 ","$7,105 ","$6,962 ","$6,818 ","$6,595 ","$6,311 ","$5,960 ","$6,169 ","$6,322 ","$6,335 ","$6,206 ","$6,092 ","$5,915 ","$5,900 ","$5,893 ","$5,922 ","$5,997 ","$6,087 ","$6,172 ","$6,254 ","$6,360 ","$6,311 ","$6,464 "
Anza Vista,417521,,"$5,140 ","$5,406 ","$5,563 ","$5,484 ","$5,281 ","$5,016 ","$4,809 ","$4,678 ","$4,728 ","$4,834 ","$4,933 ","$4,997 ","$5,059 ","$5,099 ","$5,125 ","$5,205 ","$5,287 ","$5,318 ","$5,243 ","$5,207 ","$5,215 ","$5,247 ","$5,206 ","$5,081 ","$5,015 ","$4,999 ","$4,936 ","$5,018 ","$5,145 ","$5,236 ","$5,328 ","$5,398 ","$5,456 ","$5,504 ","$5,594 ","$5,644 ","$5,585 ","$5,549 ","$5,597 ","$5,652 ","$5,680 ","$5,754 ","$5,842 ","$6,033 ","$6,171 ","$6,402 ","$6,571 ","$6,749 ","$6,838 ","$6,875 ","$6,806 ","$6,834 ","$6,938 ","$7,034 ","$7,064 ","$7,077 ","$7,140 ","$7,218 ","$7,288 ","$7,327 ","$7,333 ","$7,157 ","$7,029 ","$6,968 ","$6,830 ","$6,690 ","$6,652 ","$6,611 ","$6,675 ","$6,712 ","$6,701 ","$6,661 ","$6,638 ","$6,579 ","$6,523 ","$6,443 ","$6,328 ","$6,300 ","$6,262 ","$6,340 ","$6,389 ","$6,398 ","$6,380 ","$6,363 ","$6,319 ","$6,217 ","$6,095 ","$5,954 ","$6,020 ","$6,228 ","$6,314 ","$6,354 ","$6,336 ","$6,351 ","$6,375 ","$6,320 ","$6,317 ","$6,296 ","$6,290 ","$6,287 ","$6,371 ","$6,484 ","$6,489 ","$6,404 ","$6,312 ","$6,313 ","$6,262 ","$6,196 "
Balboa Terrace,417508,"$4,461 ","$4,732 ","$4,952 ","$5,093 ","$5,086 ","$4,979 ","$4,876 ","$4,716 ","$4,571 ","$4,467 ","$4,415 ","$4,382 ","$4,360 ","$4,402 ","$4,381 ","$4,341 ","$4,281 ","$4,215 ","$4,209 ","$4,250 ","$4,321 ","$4,425 ","$4,494 ","$4,555 ","$4,418 ","$4,244 ","$4,287 ","$4,344 ","$4,465 ","$4,477 ","$4,484 ","$4,489 ","$4,529 ","$4,567 ","$4,669 ","$4,704 ","$4,885 ","$4,920 ","$4,909 ","$4,954 ","$4,966 ","$4,973 ","$4,909 ","$4,858 ","$4,718 ","$4,631 ","$4,689 ","$4,910 ","$5,136 ","$5,341 ","$5,490 ","$5,622 ","$5,668 ","$5,684 ","$5,619 ","$5,592 ","$5,635 ","$5,685 ","$5,753 ","$5,826 ","$5,876 ","$5,947 ","$5,979 ","$6,002 ","$6,093 ","$6,111 ","$6,059 ","$5,969 ","$5,871 ","$5,817 ","$5,750 ","$5,748 ","$5,718 ","$5,702 ","$5,645 ","$5,568 ","$5,476 ","$5,418 ","$5,410 ","$5,392 ","$5,416 ","$5,338 ","$5,282 ","$5,278 ","$5,275 ","$5,274 ","$5,242 ","$5,195 ","$5,191 ","$5,215 ","$5,230 ","$5,289 ","$5,322 ","$5,394 ","$5,461 ","$5,480 ","$5,466 ","$5,432 ","$5,439 ","$5,436 ","$5,435 ","$5,412 ","$5,389 ","$5,372 ","$5,342 ","$5,316 ","$5,317 ","$5,309 ","$5,316 "
Bayview,272885,,,,,"$3,535 ","$3,327 ","$3,151 ","$3,009 ","$2,912 ","$2,896 ","$2,868 ","$2,869 ","$2,864 ","$2,842 ","$2,809 ","$2,800 ","$2,797 ","$2,794 ","$2,819 ","$2,847 ","$2,852 ","$2,844 ","$2,810 ","$2,777 ","$2,750 ","$2,748 ","$2,776 ","$2,817 ","$2,837 ","$2,863 ","$2,893 ","$2,899 ","$2,890 ","$2,888 ","$2,911 ","$2,951 ","$2,993 ","$3,039 ","$3,069 ","$3,086 ","$3,098 ","$3,104 ","$3,112 ","$3,163 ","$3,228 ","$3,287 ","$3,338 ","$3,375 ","$3,457 ","$3,522 ","$3,597 ","$3,676 ","$3,745 ","$3,782 ","$3,830 ","$3,852 ","$3,879 ","$3,943 ","$4,035 ","$4,119 ","$4,171 ","$4,214 ","$4,212 ","$4,142 ","$4,091 ","$4,046 ","$3,992 ","$3,976 ","$3,993 ","$4,027 ","$4,069 ","$4,066 ","$4,038 ","$4,015 ","$4,000 ","$3,970 ","$3,946 ","$3,934 ","$3,919 ","$3,921 ","$3,950 ","$3,955 ","$3,947 ","$3,912 ","$3,874 ","$3,846 ","$3,845 ","$3,823 ","$3,802 ","$3,774 ","$3,788 ","$3,792 ","$3,844 ","$3,877 ","$3,925 ","$3,959 ","$3,958 ","$3,943 ","$3,936 ","$3,944 ","$3,948 ","$3,963 ","$3,988 ","$4,004 ","$4,031 ","$4,047 ","$4,047 ","$4,019 ","$3,986 "
Bernal Heights,268020,"$3,766 ","$3,743 ","$3,765 ","$3,789 ","$3,687 ","$3,534 ","$3,406 ","$3,334 ","$3,298 ","$3,308 ","$3,323 ","$3,373 ","$3,409 ","$3,441 ","$3,440 ","$3,451 ","$3,454 ","$3,445 ","$3,469 ","$3,500 ","$3,560 ","$3,620 ","$3,647 ","$3,654 ","$3,571 ","$3,509 ","$3,423 ","$3,443 ","$3,473 ","$3,523 ","$3,609 ","$3,696 ","$3,746 ","$3,813 ","$3,889 ","$3,995 ","$4,086 ","$4,123 ","$4,142 ","$4,139 ","$4,126 ","$4,119 ","$4,026 ","$4,023 ","$4,029 ","$4,042 ","$4,070 ","$4,149 ","$4,285 ","$4,412 ","$4,519 ","$4,623 ","$4,684 ","$4,721 ","$4,802 ","$4,886 ","$4,976 ","$5,030 ","$5,059 ","$5,149 ","$5,224 ","$5,306 ","$5,305 ","$5,253 ","$5,221 ","$5,192 ","$5,104 ","$4,996 ","$4,940 ","$4,914 ","$4,904 ","$4,933 ","$4,964 ","$4,948 ","$4,899 ","$4,827 ","$4,747 ","$4,687 ","$4,650 ","$4,628 ","$4,603 ","$4,584 ","$4,573 ","$4,569 ","$4,587 ","$4,579 ","$4,580 ","$4,577 ","$4,562 ","$4,575 ","$4,557 ","$4,543 ","$4,553 ","$4,539 ","$4,525 ","$4,519 ","$4,512 ","$4,530 ","$4,550 ","$4,553 ","$4,555 ","$4,561 ","$4,578 ","$4,584 ","$4,589 ","$4,583 ","$4,571 ","$4,554 ","$4,522 "
Buena Vista,417524,"$4,988 ","$5,226 ","$5,346 ","$5,419 ","$5,406 ","$5,312 ","$5,192 ","$5,074 ","$5,081 ","$5,156 ","$5,233 ","$5,245 ","$5,249 ","$5,267 ","$5,293 ","$5,355 ","$5,367 ","$5,328 ","$5,332 ","$5,319 ","$5,309 ","$5,317 ","$5,293 ","$5,260 ","$5,218 ","$5,245 ","$5,300 ","$5,237 ","$5,244 ","$5,245 ","$5,268 ","$5,276 ","$5,355 ","$5,494 ","$5,654 ","$5,907 ","$6,146 ","$6,311 ","$6,329 ","$6,247 ","$6,163 ","$6,122 ","$6,049 ","$6,044 ","$6,120 ","$6,189 ","$6,459 ","$6,652 ","$6,883 ","$7,031 ","$7,179 ","$7,292 ","$7,404 ","$7,521 ","$7,604 ","$7,663 ","$7,626 ","$7,673 ","$7,761 ","$7,886 ","$7,988 ","$8,086 ","$8,128 ","$8,098 ","$7,995 ","$7,791 ","$7,574 ","$7,424 ","$7,354 ","$7,309 ","$7,316 ","$7,371 ","$7,411 ","$7,395 ","$7,336 ","$7,257 ","$7,136 ","$7,004 ","$6,949 ","$6,937 ","$7,017 ","$7,091 ","$7,141 ","$7,175 ","$7,228 ","$7,269 ","$7,263 ","$7,273 ","$7,206 ","$7,195 ","$7,222 ","$7,123 ","$7,029 ","$7,062 ","$7,119 ","$7,108 ","$7,054 ","$6,938 ","$6,812 ","$6,753 ","$6,724 ","$6,773 ","$6,821 ","$6,832 ","$6,799 ","$6,732 ","$6,715 ","$6,714 ","$6,766 "
Chinatown,114291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,404 ","$5,282 ","$5,226 ","$5,074 ","$4,907 ","$4,875 ","$4,812 ","$4,909 ","$5,160 ","$5,315 ","$5,475 ","$5,807 ","$6,092 ","$6,165 ","$6,193 ","$6,241 ","$6,279 ","$6,309 ","$6,447 ","$6,541 ","$6,573 ","$6,608 ","$6,577 ","$6,331 ","$6,064 ","$5,802 ","$5,682 ","$5,723 ","$5,792 ","$5,863 ","$5,910 ","$5,944 ","$5,924 ","$5,953 ","$5,971 ","$5,939 ","$5,804 ","$5,746 ","$5,641 ","$5,716 ","$5,770 ","$5,669 ","$5,665 ","$5,653 ","$5,565 ","$5,525 ","$5,580 ","$5,610 ","$5,670 ","$5,697 ","$5,602 ","$5,506 ","$5,731 ","$5,775 ","$5,851 ","$5,864 ","$5,850 ","$5,836 ","$5,820 ","$5,812 ","$5,942 ","$6,079 ","$6,124 ","$6,150 ","$6,178 ","$6,282 ","$6,449 ","$6,640 "
Clarendon Heights,417525,"$4,181 ","$4,280 ","$4,383 ","$4,464 ","$4,453 ","$4,348 ","$4,195 ","$4,072 ","$4,011 ","$4,030 ","$4,071 ","$4,105 ","$4,123 ","$4,124 ","$4,129 ","$4,138 ","$4,142 ","$4,142 ","$4,149 ","$4,141 ","$4,180 ","$4,267 ","$4,350 ","$4,380 ","$4,354 ","$4,323 ","$4,321 ","$4,302 ","$4,338 ","$4,370 ","$4,407 ","$4,443 ","$4,514 ","$4,582 ","$4,712 ","$4,860 ","$4,977 ","$5,005 ","$5,049 ","$5,050 ","$5,041 ","$5,037 ","$4,955 ","$4,963 ","$4,963 ","$4,926 ","$5,030 ","$5,177 ","$5,381 ","$5,536 ","$5,666 ","$5,727 ","$5,729 ","$5,773 ","$5,768 ","$5,806 ","$5,826 ","$5,889 ","$5,949 ","$6,022 ","$6,102 ","$6,179 ","$6,188 ","$6,162 ","$6,153 ","$6,136 ","$6,072 ","$6,020 ","$5,973 ","$5,971 ","$5,951 ","$5,931 ","$5,907 ","$5,891 ","$5,845 ","$5,793 ","$5,705 ","$5,618 ","$5,553 ","$5,471 ","$5,445 ","$5,404 ","$5,398 ","$5,442 ","$5,505 ","$5,536 ","$5,521 ","$5,496 ","$5,470 ","$5,464 ","$5,479 ","$5,470 ","$5,442 ","$5,463 ","$5,526 ","$5,587 ","$5,625 ","$5,637 ","$5,617 ","$5,565 ","$5,539 ","$5,556 ","$5,566 ","$5,578 ","$5,594 ","$5,613 ","$5,662 ","$5,693 ","$5,715 "
Corona Heights,417519,"$3,673 ","$3,788 ","$3,904 ","$3,985 ","$3,992 ","$3,911 ","$3,792 ","$3,719 ","$3,683 ","$3,673 ","$3,722 ","$3,796 ","$3,856 ","$3,886 ","$3,890 ","$3,905 ","$3,905 ","$3,904 ","$3,931 ","$3,962 ","$3,975 ","$4,016 ","$4,044 ","$4,082 ","$4,104 ","$4,125 ","$4,164 ","$4,135 ","$4,191 ","$4,264 ","$4,338 ","$4,394 ","$4,425 ","$4,469 ","$4,531 ","$4,597 ","$4,664 ","$4,665 ","$4,699 ","$4,787 ","$4,816 ","$4,831 ","$4,800 ","$4,823 ","$4,859 ","$4,877 ","$5,049 ","$5,216 ","$5,362 ","$5,466 ","$5,546 ","$5,583 ","$5,597 ","$5,599 ","$5,593 ","$5,626 ","$5,661 ","$5,700 ","$5,782 ","$5,886 ","$6,007 ","$6,132 ","$6,168 ","$6,146 ","$6,126 ","$6,099 ","$5,993 ","$5,898 ","$5,843 ","$5,797 ","$5,741 ","$5,723 ","$5,714 ","$5,723 ","$5,707 ","$5,682 ","$5,656 ","$5,604 ","$5,532 ","$5,450 ","$5,349 ","$5,299 ","$5,307 ","$5,353 ","$5,406 ","$5,458 ","$5,477 ","$5,464 ","$5,472 ","$5,500 ","$5,489 ","$5,401 ","$5,271 ","$5,210 ","$5,182 ","$5,222 ","$5,244 ","$5,254 ","$5,257 ","$5,280 ","$5,292 ","$5,325 ","$5,371 ","$5,393 ","$5,416 ","$5,430 ","$5,467 ","$5,495 ","$5,497 "
Cow Hollow,268096,"$9,517 ","$9,745 ","$9,823 ","$9,859 ","$9,729 ","$9,458 ","$9,131 ","$8,827 ","$8,605 ","$8,512 ","$8,487 ","$8,485 ","$8,495 ","$8,541 ","$8,580 ","$8,588 ","$8,481 ","$8,354 ","$8,339 ","$8,338 ","$8,421 ","$8,549 ","$8,596 ","$8,628 ","$8,567 ","$8,511 ","$8,510 ","$8,516 ","$8,661 ","$8,792 ","$8,926 ","$9,028 ","$9,166 ","$9,398 ","$9,686 ","$9,991 ","$10,237 ","$10,307 ","$10,289 ","$10,289 ","$10,259 ","$10,243 ","$10,097 ","$9,892 ","$9,568 ","$9,381 ","$9,456 ","$9,705 ","$10,165 ","$10,638 ","$11,062 ","$11,243 ","$11,360 ","$11,510 ","$11,660 ","$11,937 ","$11,947 ","$11,939 ","$12,013 ","$12,487 ","$12,968 ","$13,400 ","$13,875 ","$14,373 ","$14,318 ","$14,129 ","$13,895 ","$13,584 ","$14,016 ","$14,629 ","$14,888 ","$14,604 ","$14,247 ","$13,654 ","$13,294 ","$13,203 ","$13,406 ","$13,614 ","$14,000 ","$13,841 ","$13,620 ","$13,648 ","$13,593 ","$13,419 ","$13,361 ","$13,350 ","$13,264 ","$13,224 ","$13,263 ","$13,011 ","$13,096 ","$13,252 ","$13,706 ","$14,018 ","$14,194 ","$14,272 ","$14,003 ","$13,616 ","$13,250 ","$13,065 ","$12,974 ","$12,909 ","$12,857 ","$12,756 ","$12,677 ","$12,516 ","$12,350 ","$12,178 ","$12,171 "
