Region Name,Region ID,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19
Alamo Square,417523,0,0,0,"$3,700","$3,610","$3,557","$3,511","$3,485","$3,485","$3,495","$3,490","$3,574","$3,646","$3,725","$3,803","$3,874","$3,911","$3,900","$3,932","$3,993","$3,998","$4,043","$4,074","$4,069","$4,081","$4,074","$4,086","$4,115","$4,209","$4,377","$4,517","$4,582","$4,637","$4,615","$4,656","$4,710","$4,705","$4,643","$4,631","$4,693","$4,772","$4,812","$4,884","$4,930","$4,876","$4,872","$4,821","$4,828","$4,873","$4,971","$5,029","$5,058","$5,099","$5,122","$5,150","$5,263","$5,381","$5,514","$5,610","$5,694","$5,784","$5,870","$5,902","$5,866","$5,790","$5,721","$5,632","$5,552","$5,450","$5,371","$5,310","$5,406","$5,496","$5,566","$5,584","$5,587","$5,543","$5,459","$5,364","$5,263","$5,180","$5,115","$5,087","$5,058","$5,101","$5,143","$5,162","$5,155","$5,075","$5,091","$5,145","$5,185","$5,213","$5,412","$5,497","$5,517","$5,574","$5,645","$5,635","$5,617","$5,608","$5,618","$5,629","$5,631","$5,618","$5,614","$5,668","$5,728","$5,787"
Anza Vista,417521,0,"$4,013","$4,094","$4,314","$4,207","$4,102","$4,015","$3,958","$3,949","$4,019","$4,064","$4,166","$4,275","$4,362","$4,464","$4,562","$4,582","$4,583","$4,597","$4,620","$4,654","$4,675","$4,685","$4,735","$4,702","$4,698","$4,741","$4,795","$4,794","$4,912","$5,036","$5,060","$5,065","$5,128","$5,103","$5,092","$5,095","$5,114","$5,138","$5,216","$5,247","$5,263","$5,300","$5,300","$5,313","$5,262","$5,159","$5,237","$5,349","$5,491","$5,611","$5,689","$5,690","$5,828","$5,899","$6,084","$6,167","$6,216","$6,183","$6,205","$6,245","$6,351","$6,363","$6,351","$6,317","$6,320","$6,228","$6,081","$5,968","$5,919","$5,842","$5,825","$5,811","$5,816","$5,813","$5,809","$5,769","$5,665","$5,545","$5,481","$5,457","$5,478","$5,534","$5,613","$5,568","$5,595","$5,567","$5,515","$5,458","$5,440","$5,468","$5,451","$5,456","$5,515","$5,590","$5,564","$5,557","$5,496","$5,459","$5,415","$5,393","$5,436","$5,503","$5,539","$5,552","$5,576","$5,617","$5,728","$5,800"
Balboa Terrace,417508,0,"$4,136",0,"$4,305","$4,052","$3,820","$3,654","$3,552","$3,446","$3,385","$3,374","$3,397","$3,428","$3,393","$3,397","$3,382","$3,334","$3,322","$3,290","$3,203","$3,205","$3,236","$3,285","$3,373","$3,402","$3,435","$3,538","$3,632","$3,745","$3,647","$3,449","$3,400","$3,334","$3,254","$3,258","$3,304","$3,384","$3,433","$3,513","$3,623","$3,694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayview,272885,0,0,0,0,"$3,108","$3,021","$2,874","$2,729","$2,667","$2,666","$2,654","$2,662","$2,641","$2,529","$2,471","$2,451","$2,418","$2,429","$2,457","$2,486","$2,488","$2,497","$2,494","$2,489","$2,488","$2,501","$2,552","$2,606","$2,669","$2,691","$2,680","$2,645","$2,625","$2,599","$2,626","$2,672","$2,724","$2,820","$2,882","$2,914","$2,937","$2,949","$2,906","$2,901","$2,907","$3,005","$3,112","$3,219","$3,321","$3,387","$3,504","$3,653","$3,770","$3,812","$3,842","$3,863","$3,880","$3,939","$4,062","$4,172","$4,242","$4,297","$4,275","$4,194","$4,150","$4,100","$4,047","$3,983","$3,963","$4,003","$4,077","$4,085","$4,082","$4,059","$4,033","$4,008","$3,965","$3,941","$3,921","$3,924","$3,941","$3,926","$3,953","$3,944","$3,924","$3,892","$3,880","$3,846","$3,854","$3,861","$3,892","$3,923","$4,017","$4,149","$4,250","$4,302","$4,329","$4,334","$4,293","$4,266","$4,252","$4,245","$4,244","$4,256","$4,252","$4,238","$4,231","$4,221","$4,212"
Bernal Heights,268020,"$3,474","$3,518","$3,649","$3,694","$3,660","$3,535","$3,394","$3,308","$3,243","$3,211","$3,258","$3,344","$3,410","$3,385","$3,343","$3,347","$3,348","$3,338","$3,359","$3,374","$3,411","$3,443","$3,461","$3,463","$3,417","$3,372","$3,335","$3,349","$3,378","$3,462","$3,564","$3,611","$3,636","$3,696","$3,711","$3,776","$3,840","$3,896","$3,953","$3,977","$3,939","$3,921","$3,874","$3,885","$3,885","$3,869","$3,921","$3,972","$4,091","$4,225","$4,372","$4,551","$4,715","$4,742","$4,842","$4,989","$5,121","$5,178","$5,246","$5,314","$5,392","$5,463","$5,463","$5,384","$5,339","$5,310","$5,239","$5,132","$5,056","$5,059","$5,064","$5,082","$5,160","$5,160","$5,096","$4,985","$4,852","$4,760","$4,669","$4,635","$4,561","$4,520","$4,503","$4,498","$4,553","$4,582","$4,594","$4,588","$4,618","$4,686","$4,731","$4,759","$4,799","$4,899","$4,997","$5,027","$5,018","$5,024","$5,013","$4,979","$4,962","$4,940","$4,919","$4,908","$4,915","$4,947","$4,974","$5,035","$5,057"
Buena Vista,417524,"$3,738","$4,000","$4,174","$4,306","$4,349","$4,333","$4,215","$4,134","$4,113","$4,187","$4,243","$4,296","$4,329","$4,361","$4,392","$4,448","$4,481","$4,483","$4,469","$4,444","$4,429","$4,459","$4,445","$4,423","$4,392","$4,353","$4,372","$4,365","$4,455","$4,551","$4,665","$4,740","$4,808","$4,865","$4,901","$4,966","$5,112","$5,285","$5,380","$5,330","$5,327","$5,325","$5,305","$5,334","$5,373","$5,359","$5,354","$5,379","$5,444","$5,517","$5,563","$5,596","$5,642","$5,738","$5,859","$5,993","$6,081","$6,103","$6,073","$6,109","$6,200","$6,261","$6,283","$6,270","$6,259","$6,269","$6,207","$6,098","$6,023","$5,974","$5,952","$5,989","$6,016","$6,014","$5,976","$5,913","$5,810","$5,722","$5,646","$5,604","$5,574","$5,609","$5,687","$5,751","$5,749","$5,716","$5,673","$5,627","$5,602","$5,595","$5,670","$5,657","$5,719","$5,815","$5,855","$5,825","$5,785","$5,750","$5,730","$5,666","$5,635","$5,647","$5,697","$5,699","$5,734","$5,779","$5,840","$5,918","$5,958"
Chinatown,114291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$4,125","$4,255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarendon Heights,417525,"$3,602","$3,636","$3,684","$3,688","$3,766","$3,793","$3,764","$3,668","$3,511","$3,451","$3,506","$3,515","$3,712","$3,977","$4,145","$4,264","$4,370","$4,395","$4,310","$4,245","$4,266","$4,306","$4,243","$4,167","$4,006","$3,939","$3,971","$4,052","$4,175","$4,339","$4,474","$4,598","$4,789","$4,813","$4,857","$4,916","$5,093","$5,076","$5,243","$5,309","$5,255","$5,228","$5,238","$5,228","$5,224","$5,240","$5,117","$5,092","$5,138","$5,240","$5,329","$5,468","$5,545","$5,685","$5,785","$5,884","$5,928","$5,963","$5,970","$6,015","$6,107","$6,203","$6,133","$6,027","$6,001","$6,021","$5,884","$5,777","$5,805","$5,847","$5,872","$5,884","$5,878","$5,861","$5,850","$5,794","$5,701","$5,613","$5,521","$5,482","$5,425","$5,462","$5,570","$5,673","$5,690","$5,688","$5,609","$5,584","$5,560","$5,563","$5,599","$5,617","$5,679","$5,765","$5,880","$5,900","$5,804","$5,808","$5,802","$5,671","$5,607","$5,633","$5,681","$5,687","$5,699","$5,757","$5,824","$5,882","$5,924"
Corona Heights,417519,"$3,880","$3,985","$4,130","$4,287","$4,303","$4,257","$4,122","$4,050","$4,057","$4,121","$4,176","$4,230","$4,271","$4,301","$4,345","$4,400","$4,425","$4,444","$4,437","$4,411","$4,373","$4,335","$4,363","$4,388","$4,379","$4,401","$4,441","$4,420","$4,492","$4,576","$4,716","$4,758","$4,766","$4,714","$4,770","$4,886","$4,964","$5,065","$5,205","$5,207","$5,274","$5,309","$5,340","$5,380","$5,416","$5,378","$5,322","$5,326","$5,385","$5,445","$5,487","$5,547","$5,604","$5,697","$5,856","$6,065","$6,224","$6,331","$6,377","$6,367","$6,407","$6,436","$6,433","$6,354","$6,315","$6,333","$6,271","$6,191","$6,120","$6,092","$6,097","$6,124","$6,141","$6,139","$6,067","$6,014","$5,933","$5,844","$5,802","$5,806","$5,830","$5,855","$5,909","$5,934","$5,960","$5,935","$5,855","$5,797","$5,788","$5,777","$5,791","$5,757","$5,764","$5,813","$5,827","$5,818","$5,796","$5,768","$5,740","$5,732","$5,728","$5,766","$5,855","$5,892","$5,929","$5,945","$5,997","$6,102","$6,186"
Cow Hollow,268096,"$6,768","$7,156","$7,209","$7,128","$6,641","$6,235","$5,892","$5,576","$5,448","$5,262","$5,219","$5,186","$5,372","$5,457","$5,598","$5,694","$5,748","$5,597","$5,423","$5,338","$5,339","$5,405","$5,420","$5,458","$5,430","$5,368","$5,333","$5,455","$5,585","$5,727","$5,831","$5,788","$5,835","$5,961","$6,142","$6,354","$6,612","$6,760","$6,722","$6,697","$6,565","$6,500","$6,447","$6,478","$6,434","$6,389","$6,366","$6,340","$6,370","$6,494","$6,634","$6,863","$7,002","$7,220","$7,402","$7,504","$7,531","$7,553","$7,584","$7,632","$7,647","$7,735","$7,803","$7,905","$7,868","$7,760","$7,655","$7,582","$7,563","$7,534","$7,523","$7,576","$7,698","$7,749","$7,803","$7,794","$7,663","$7,531","$7,450","$7,347","$7,267","$7,238","$7,209","$7,076","$6,996","$7,096","$7,085","$7,127","$7,167","$7,221","$7,267","$7,173","$7,153","$7,237","$7,281","$7,299","$7,311","$7,331","$7,321","$7,333","$7,339","$7,436","$7,531","$7,583","$7,574","$7,531","$7,513","$7,532","$7,636"
