Region Name,Region ID,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19
Alamo Square,417523,"$3,658","$3,710","$3,842","$3,908","$3,867","$3,776","$3,690","$3,633","$3,599","$3,599","$3,644","$3,727","$3,809","$3,861","$3,914","$3,975","$4,003","$4,011","$4,047","$4,086","$4,129","$4,151","$4,165","$4,180","$4,187","$4,165","$4,155","$4,176","$4,227","$4,303","$4,377","$4,435","$4,461","$4,490","$4,500","$4,525","$4,523","$4,533","$4,589","$4,670","$4,727","$4,756","$4,807","$4,869","$4,881","$4,800","$4,801","$4,939","$5,029","$5,143","$5,263","$5,358","$5,420","$5,454","$5,468","$5,548","$5,445","$5,488","$5,620","$5,766","$5,879","$5,956","$5,990","$5,981","$5,942","$5,861","$5,734","$5,610","$5,539","$5,511","$5,485","$5,521","$5,565","$5,521","$5,480","$5,428","$5,345","$5,265","$5,227","$5,224","$5,200","$5,139","$5,176","$5,197","$5,225","$5,228","$5,233","$5,229","$5,232","$5,263","$5,277","$5,161","$5,076","$4,973","$4,885","$4,863","$4,878","$4,905","$4,913","$4,930","$4,939","$4,993","$5,057","$5,098","$5,150","$5,161","$5,187","$5,229","$5,212"
Anza Vista,417521,"$3,582","$3,675","$3,858","$3,988","$3,918","$3,842","$3,751","$3,679","$3,617","$3,591","$3,595","$3,673","$3,758","$3,837","$3,880","$3,893","$3,922","$3,947","$4,006","$4,039","$4,086","$4,124","$4,161","$4,219","$4,216","$4,166","$4,113","$4,072","$4,076","$4,098","$4,123","$4,161","$4,226","$4,313","$4,333","$4,353","$4,347","$4,390","$4,483","$4,597","$4,661","$4,693","$4,696","$4,749","$4,764","$4,728","$4,764","$4,861","$5,053","$5,195","$5,270","$5,299","$5,342","$5,399","$5,357","$5,365","$5,380","$5,431","$5,591","$5,747","$5,905","$6,044","$6,074","$6,051","$6,016","$5,941","$5,858","$5,762","$5,655","$5,587","$5,527","$5,501","$5,516","$5,506","$5,444","$5,407","$5,326","$5,196","$5,154","$5,147","$5,172","$5,132","$5,146","$5,193","$5,239","$5,262","$5,223","$5,202","$5,163","$5,180","$5,198","$5,124","$5,030","$4,979","$4,981","$4,975","$4,973","$5,001","$5,016","$5,025","$5,029","$5,003","$5,012","$5,020","$5,037","$5,059","$5,078","$5,084","$5,078"
Balboa Terrace,417508,0,"$4,604","$4,691","$4,773","$4,734","$4,641","$4,525","$4,416","$4,319","$4,300","$4,276","$4,227","$4,158","$4,172","$4,125","$4,085","$3,988","$3,882","$3,838","$3,891","$3,978","$4,075","$4,094","$4,111","$4,020","$3,900","$3,905","$3,928","$3,986","$3,988","$4,056","$4,081","$4,124","$4,278","$4,426","$4,515","$4,647","$4,704","$4,677","$4,698","$4,702",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayview,272885,"$3,587","$3,610","$3,766","$3,832","$3,666","$3,486","$3,302","$3,121","$2,999","$2,964","$2,947","$2,982","$2,999","$2,974","$2,934","$2,924","$2,901","$2,906","$2,910","$2,903","$2,886","$2,853","$2,813","$2,782","$2,765","$2,764","$2,818","$2,867","$2,921","$2,973","$2,997","$2,998","$2,984","$2,965","$2,962","$2,976","$3,010","$3,108","$3,173","$3,203","$3,232","$3,246","$3,228","$3,272","$3,317","$3,361","$3,438","$3,515","$3,630","$3,764","$3,867","$3,977","$4,095","$4,130","$4,162","$4,155","$4,191","$4,256","$4,329","$4,437","$4,476","$4,497","$4,480","$4,426","$4,371","$4,308","$4,226","$4,193","$4,214","$4,238","$4,272","$4,266","$4,252","$4,223","$4,192","$4,148","$4,089","$4,057","$4,027","$4,024","$4,048","$4,058","$4,073","$4,065","$4,055","$4,022","$4,013","$3,984","$3,991","$4,012","$4,068","$4,092","$4,154","$4,218","$4,291","$4,307","$4,282","$4,257","$4,228","$4,218","$4,214","$4,193","$4,183","$4,183","$4,199","$4,209","$4,203","$4,201","$4,199"
Bernal Heights,268020,"$3,617","$3,720","$3,874","$3,915","$3,817","$3,684","$3,599","$3,531","$3,470","$3,465","$3,485","$3,574","$3,641","$3,670","$3,678","$3,683","$3,658","$3,643","$3,652","$3,660","$3,693","$3,733","$3,743","$3,753","$3,682","$3,646","$3,591","$3,616","$3,686","$3,758","$3,832","$3,888","$3,945","$4,002","$4,036","$4,090","$4,139","$4,181","$4,221","$4,222","$4,196","$4,184","$4,133","$4,125","$4,113","$4,111","$4,134","$4,189","$4,316","$4,462","$4,585","$4,726","$4,825","$4,887","$4,939","$4,995","$5,068","$5,131","$5,211","$5,303","$5,372","$5,425","$5,437","$5,401","$5,351","$5,326","$5,244","$5,157","$5,086","$5,053","$5,025","$5,059","$5,080","$5,048","$5,002","$4,955","$4,885","$4,826","$4,782","$4,764","$4,733","$4,714","$4,708","$4,711","$4,738","$4,727","$4,719","$4,721","$4,721","$4,744","$4,761","$4,772","$4,776","$4,770","$4,773","$4,771","$4,755","$4,772","$4,786","$4,794","$4,798","$4,790","$4,780","$4,772","$4,782","$4,803","$4,815","$4,834","$4,826"
Buena Vista,417524,"$3,875","$4,154","$4,361","$4,536","$4,582","$4,537","$4,398","$4,291","$4,234","$4,261","$4,295","$4,318","$4,336","$4,383","$4,458","$4,533","$4,538","$4,494","$4,466","$4,469","$4,481","$4,529","$4,549","$4,567","$4,562","$4,529","$4,516","$4,501","$4,541","$4,608","$4,695","$4,754","$4,826","$4,888","$4,955","$4,987","$5,099","$5,220","$5,319","$5,361","$5,383","$5,393","$5,367","$5,360","$5,381","$5,351","$5,412","$5,572","$5,718","$5,846","$5,934","$5,973","$6,048","$6,120","$6,141","$6,213","$6,242","$6,290","$6,361","$6,470","$6,570","$6,664","$6,688","$6,674","$6,638","$6,572","$6,488","$6,378","$6,293","$6,257","$6,236","$6,233","$6,224","$6,202","$6,170","$6,112","$6,014","$5,916","$5,856","$5,824","$5,828","$5,813","$5,845","$5,868","$5,885","$5,886","$5,836","$5,810","$5,784","$5,775","$5,781","$5,724","$5,702","$5,711","$5,750","$5,748","$5,687","$5,662","$5,640","$5,647","$5,651","$5,685","$5,732","$5,754","$5,774","$5,814","$5,869","$5,925","$5,980"
Chinatown,114291,"$4,379","$4,444","$4,550","$4,611","$4,576","$4,523","$4,488","$4,443","$4,386","$4,383","$4,479","$4,623","$4,762","$4,823","$4,741","$4,680","$4,642","$4,743","$4,829","$4,845","$4,831","$4,955","$5,004","$4,949","$4,897","$4,815","$4,784","$4,796","$4,784","$4,800","$4,865","$4,971","$5,110","$5,274","$5,437","$5,629","$5,785","$5,796","$5,809","$5,755","$5,632","$5,572","$5,447","$5,415","$5,267","$5,132","$5,072","$5,042","$5,124","$5,325","$5,458","$5,613","$5,880","$6,114","$6,302","$6,281","$6,289","$6,349","$6,515","$6,764","$6,922","$6,999","$7,063","$7,104","$6,925","$6,648","$6,348","$6,243","$6,238","$6,284","$6,312","$6,342","$6,341","$6,175","$6,119","$6,081","$5,993","$5,775","$5,732","$5,726","$5,793","$5,770","$5,747","$5,737","$5,792","$5,742","$5,696","$5,736","$5,746","$5,847","$5,929","$5,809","$5,655","$5,654","$5,606","$5,637","$5,628","$5,612","$5,613","$5,615","$5,616","$5,703","$5,759","$5,877","$5,973","$6,011","$6,057","$6,223","$6,345"
Clarendon Heights,417525,"$3,821","$4,029","$4,234","$4,358","$4,397","$4,307","$4,103","$3,978","$3,946","$3,962","$4,007","$4,047","$4,069","$4,136","$4,254","$4,258","$4,399","$4,453","$4,395","$4,316","$4,319","$4,377","$4,309","$4,239","$4,247","$4,220","$4,141","$4,146","$4,210","$4,325","$4,436","$4,545","$4,701","$4,845","$5,005","$5,065","$5,097","$5,198","$5,221","$5,189","$5,193","$5,194","$5,124","$5,077","$5,116","$5,120","$5,196","$5,323","$5,460","$5,600","$5,649","$5,645","$5,635","$5,692","$5,723","$5,795","$5,850","$5,904","$5,941","$6,046","$6,157","$6,241","$6,226","$6,140","$6,127","$6,063","$6,009","$5,962","$5,907","$5,868","$5,851","$5,860","$5,888","$5,854","$5,833","$5,797","$5,735","$5,668","$5,565","$5,516","$5,519","$5,501","$5,561","$5,615","$5,599","$5,580","$5,526","$5,505","$5,493","$5,449","$5,413","$5,394","$5,364","$5,369","$5,484","$5,555","$5,527","$5,564","$5,563","$5,507","$5,479","$5,516","$5,546","$5,554","$5,585","$5,631","$5,649","$5,685","$5,684"
Corona Heights,417519,"$3,986","$4,133","$4,309","$4,462","$4,436","$4,354","$4,208","$4,112","$4,047","$4,039","$4,054","$4,112","$4,153","$4,185","$4,235","$4,284","$4,284","$4,254","$4,252","$4,258","$4,271","$4,309","$4,323","$4,356","$4,354","$4,323","$4,307","$4,303","$4,344","$4,430","$4,535","$4,602","$4,664","$4,732","$4,786","$4,831","$4,876","$4,903","$4,961","$5,005","$5,029","$5,041","$5,038","$5,072","$5,114","$5,088","$5,118","$5,194","$5,315","$5,425","$5,515","$5,544","$5,606","$5,694","$5,756","$5,859","$5,934","$5,986","$6,051","$6,106","$6,185","$6,275","$6,302","$6,276","$6,269","$6,264","$6,186","$6,101","$6,022","$5,981","$5,935","$5,920","$5,921","$5,915","$5,876","$5,822","$5,772","$5,698","$5,645","$5,607","$5,598","$5,580","$5,631","$5,672","$5,726","$5,757","$5,708","$5,671","$5,653","$5,640","$5,636","$5,591","$5,555","$5,555","$5,557","$5,554","$5,527","$5,517","$5,514","$5,543","$5,557","$5,589","$5,648","$5,679","$5,705","$5,738","$5,782","$5,803","$5,833"
Cow Hollow,268096,"$7,513","$7,935","$7,812","$7,540","$7,106","$6,662","$6,297","$6,033","$5,874","$5,822","$5,800","$5,772","$5,853","$5,930","$6,009","$6,052","$5,981","$5,878","$5,809","$5,766","$5,804","$5,879","$5,904","$5,912","$5,912","$5,878","$5,881","$5,892","$5,946","$5,985","$5,988","$5,956","$5,963","$6,120","$6,312","$6,548","$6,859","$6,982","$7,017","$7,093","$7,082","$7,076","$7,076","$7,024","$6,854","$6,689","$6,696","$6,766","$6,900","$7,116","$7,311","$7,516","$7,688","$7,853","$8,008","$8,087","$8,167","$8,274","$8,366","$8,501","$8,655","$8,792","$8,872","$8,927","$8,815","$8,605","$8,404","$8,222","$8,190","$8,202","$8,188","$8,281","$8,395","$8,417","$8,420","$8,373","$8,218","$8,021","$7,861","$7,746","$7,701","$7,698","$7,718","$7,723","$7,753","$7,781","$7,787","$7,824","$7,827","$7,833","$7,811","$7,764","$7,726","$7,759","$7,789","$7,767","$7,740","$7,733","$7,768","$7,835","$7,869","$7,974","$8,067","$8,116","$8,129","$8,049","$7,982","$7,976","$8,002"
